;Question;Answer
0;How can cataract be treated?;Cataract is typically treated with a surgical procedure, to remove the lens of your eye and replace it with an artificial lens. The most common method is Phacoemulsification, which involves the use of a high-frequency ultrasound device. In some select centres, Femto LASER technology is used for a few steps of the cataract surgery. However, the availability of laser-assisted cataract surgery may vary across institutions. The surgery is generally safe and effective, restoring vision in the majority of cases, but it's not a cure in the sense of restoring the eye to its original condition before the cataract developed. It's best to consult your eye doctor to determine the most suitable treatment for your specific case and discuss your expectations.
1;How can I prepare myself for Cataract Surgery?;"Before the surgery, you should ensure the following:
1. Use eye drops as per instructions given by the Doctor.
2. On the day of surgery, take diabetes, blood pressure, heart, and seizure medications as prescribed by your concerned physician. Consult your doctor about blood thinners like Aspirin and Coumadin, and whether to continue other medications, herbal medicines, and supplements.
3. For local anesthesia, have a light meal before surgery, avoiding alcohol and tobacco 24 hours prior. For general anesthesia, refrain from eating for 8 hours and avoid liquids for some time before surgery. Discuss any dietary concerns with your healthcare team.
4. Plan to arrive at the hospital 3 hours before your scheduled surgery time.
5. Do not wear any ornaments. Be prepared to change into a hospital gown.
6. Please pay the amount for surgery/procedure at the cash counter ?? before you proceed to inpatient ward.
7. Be patient and cooperative with hospital personnel who may ask the same questions repeatedly for safety reasons.
8. Check if all investigations have been completed and inform the surgeon about any specific requests or clinical problems."
2;Why do I need to arrive at the hospital 3 hours before the surgery?;You are asked to arrive at the hospital 3 hours before your surgery to allow you to settle in and for some preoperative procedures and medications to be applied before you are wheeled into the surgical theatre.
3;Should I get operated at my native place, as there are also good hospitals there?;The decision on where to have your cataract surgery is a personal one and depends on various factors such as the quality of healthcare facilities available, the expertise of the doctors, your comfort level, and convenience. Doctors at ?? have experience of thousands of surgeries, but there may also be good hospitals elsewhere. It's important to consider post-operative care, including support for applying eye drops, and follow-up visits, which might be easier at a closer location. You should make this decision in consultation with your family and your doctor.
4;If a person gets operated here and then goes to his native place and if some problem occurs what should he do?;If a patient experiences any issues after cataract surgery, it's important to seek medical attention immediately. They can contact ?? at ?? or call ??. If they are unable to reach the hospital, they should visit a local eye doctor.
5;What documents should we bring with us to the hospital?;"You should bring the following items with you to the hospital: 
1. your medical insurance card and policy information, 
2. prior approval or preauthorization form from your insurance company where relevant, 
3. emergency contact information, 
4. a list of medications (how much and when taken) and the medicines you are using both for your eye and for other conditions (diabetes, hypertension etc), and
5. your primary care doctor / referring doctor's name and phone number if we need to reach out to them for any additional clarification or information."
6;Why is it important to bring my medications and their list to the surgery?;It's important to bring both your actual medications and their list to the surgery because it helps the medical team understand your current medication regimen. This information is crucial for them to manage your overall health and any other conditions you might have, and to avoid any potential drug interactions. It also ensures that you have your necessary medications with you during your hospital stay.
7;What are the different types of lenses?;"An IntraOcular lens (IOL) is a small artificial lens that replaces the eye's natural lens during cataract surgery, providing similar focusing power to the natural lens. The lenses typically used in cataract surgery are rigid lenses and foldable lenses. They determine the incision size. Most patients choose a foldable lens as the immediate recovery is faster. Among the foldable lenses, commonly used ones include monofocal lenses that correct for distance, EDOF or extended depth of focal lenses, and multifocal lenses. There are also other specific variations used for specific eye conditions. 

The most common lens used in cataract surgery is a monofocal IOL. This has one focusing distance. It is set to focus for close work, medium range or distance vision – chosen depending on your visual needs. Like most people you may wish to have it set for clear distance vision; this is best for driving, walking and seeing people at a distance. Generally eyeglasses are needed for reading or close work. 

A variant of the monofocal lens is the Aspheric IOLs that mimic the curvature of the eye’s natural lens and increase sharpness marginally especially in low light conditions. Toric IOLs can correct astigmatism (cyindrical power) because, like the astigmatic eye, they also have different powers in different directions that balances the eye’s astigmatism. A multifocal IOL is a premium IOL that provides both distance and near focus at the same time. The IOL has different zones set at different focusing powers. It may allow you to see clearly in the distance without glasses as well as read or use a computer, also without using glasses (although you still may need glasses for some circumstances, e.g., reading small newspaper print). EDOF or extended dept of vision IOLs enhance the depth-of-focus. 

There are also lenses that combine the attributes described. Lenses can come from various manufacturers, both Indian and imported. Based on your eye and lifestyle, recheck with your doctor if you want to understand your best option."
8;What are processes for insurance?;The claim process typically involves contacting your insurance company to know about your eligibility for cataract surgery. To get insurance pre-approval for your cataract surgery, you need to provide your insurance company with specific details such as the name of the hospital where the surgery will be performed, the name of the surgeon, and the specific procedure to be performed. It's recommended to start this process well in advance of your surgery date. However, the exact time frame can vary depending on your insurance company's policies. After the surgery, a set of documents need to be collected from the hospital for reimbursement. For more specific details, it's best to contact your insurance company or the ?? team at the hospital at ?? or call ??. They will guide you through the process and provide you with the necessary assistance.
9;What are the different types of insurance plans available?;There are several types of insurance plans available. Some of them include ??. For further clarifications, kindly contact the ?? desk at ?? or call ??.
